Investor Name,Announced Date
2019-04-12,DSG Consumer Partners
2019-04-12,Silas Capital
Beyond Capital,2019-04-12
Upaya Social Ventures,2019-04-12
2019-04-12,FH Capital
Kirin Ventures,2019-04-12
2019-04-12,Cemex Ventures
Carpediem Capital,2019-04-12
SuperAwesome,2019-04-12
Zhongling Yanyuan Fund,2019-04-12
Enlightened Hospitality Investments,2019-04-12
2019-04-12,Y Combinator
2019-04-12,Prasid Uno Family Trust
Cedar Mundi Ventures,2019-04-13
2019-04-13,Phoenician Funds
2019-04-13,WOW Aceleradora
2019-04-13,WOW Aceleradora
2019-04-13,Dingguagua Group
2019-04-13,Guoqian Venture Capital
2019-04-13,WOW Aceleradora
Dean Bartosh,2019-04-13
2019-04-14,500 Startups
2019-04-14,EQ2 Ventures
2019-04-14,Faith Capital
GS Shop,2019-04-14
2019-04-14,Wamda Capital
2019-04-14,FONGIT
2019-04-14,Ontario Centres of Excellence
Aisling Capital,2019-04-14
HealthQuest Capital,2019-04-14
Polaris Partners,2019-04-14
Ahmed Kamal Selim,2019-04-14
SBI Group,2019-04-15
2019-04-15,Chiba Bank
2019-04-15,Resona Bank
Tokyo Star Bank,2019-04-15
2019-04-15,K4 Ventures
2019-04-15,Kansai Electric Power
MINKABU,2019-04-15
XTech Ventures Japan,2019-04-15
Sumitomo Mitsui Financial Group,2019-04-15
Reece Chowdhry,2019-04-15
RLC Ventures,2019-04-15
2019-04-15,Reno Seed Fund
500 Istanbul,2019-04-15
Incubate Fund,2019-04-15
Sodero Gestion,2019-04-15
Nimble Ventures,2019-04-15
Martin Wos,2019-04-15
Makers Fund,2019-04-15
Indiegogo,2019-04-15
GGV Capital,2019-04-15
2019-04-15,Konvoy Ventures
Beehive Holdings,2019-04-15
Alexandre Scialom,2019-04-15
2019-04-15,Matrix Partners
2019-04-15,Y Combinator
11-11 Ventures,2019-04-15
2B Angels,2019-04-15
Cockpit Innovation,2019-04-15
Fosun International,2019-04-15
Fosun RZ Capital,2019-04-15
Journey Ventures,2019-04-15
Techstars Ventures,2019-04-15
Flat6Labs Bahrain,2019-04-15
Ying Fund,2019-04-15
Joyance Partners,2019-04-15
Social Starts,2019-04-15
Salesforce Ventures,2019-04-15
National Science Foundation,2019-04-15
Gagarin Capital Partners,2019-04-15
Oyster Ventures,2019-04-15
Overkill Ventures,2019-04-15
2019-04-15,Centre for the Development of Industrial Technology (CDTI)
2019-04-15,Tamarak Capital
New World Angels,2019-04-15
True Wealth Ventures,2019-04-15
ARCH GLOBAL,2019-04-15
M.S. Lee,2019-04-15
Peter Xie,2019-04-15
Kärcher New Venture,2019-04-15
2019-04-15,Alpana Ventures
CP Ventures,2019-04-15
2019-04-15,CRCM Ventures
Newark Venture Partners,2019-04-15
Newark Venture Partners,2019-04-15
Newark Venture Partners,2019-04-15
Newark Venture Partners,2019-04-15
Newark Venture Partners,2019-04-15
Newark Venture Partners,2019-04-15
Newark Venture Partners,2019-04-15
AET Fund,2019-04-15
Akatsuki,2019-04-15
Helion Venture Partners,2019-04-15
Sistema Asia Capital,2019-04-15
Antler,2019-04-15
Bain Capital Ventures,2019-04-15
Baird Capital,2019-04-15
Blue Cloud Ventures,2019-04-15
Silicon Valley Bank,2019-04-15
University of California,2019-04-15
Berkeley,2019-04-15
14W,2019-04-15
Aspect Ventures,2019-04-15
2019-04-15,Female Founders Fund
Imagination Capital,2019-04-15
Maveron,2019-04-15
Precursor Ventures,2019-04-15
Kinea Investimentos Ltda,2019-04-15
2019-04-15,Acumen
Atlassian,2019-04-15
Better Ventures,2019-04-15
Impact Engine,2019-04-15
Jasmine Social Investments,2019-04-15
Kairos,2019-04-15
2019-04-15,Red Sea Ventures
2019-04-15,Almi Invest
Erik Urnes,2019-04-15
Philip Abdon,2019-04-15
Icebreaker.vc,2019-04-15
B&Y Venture Partners,2019-04-15
Derayah Capital,2019-04-15
Global Ventures,2019-04-15
2019-04-15,Mindshift Capital
Shorooq Partners,2019-04-15
Vision Ventures,2019-04-15
2019-04-15,Wamda Capital
2019-04-15,Cavalry Ventures
IBB Beteiligungsgesellschaft,2019-04-15
Mutschler Ventures AG,2019-04-15
signals Venture Capital,2019-04-15
Talis Capital,2019-04-15
Allstate Enterprise Consulting,2019-04-15
Intel Capital,2019-04-15
Starr Companies,2019-04-15
State of Mind Ventures,2019-04-15
Blue Fog Capital,2019-04-15
Chaifetz Group,2019-04-15
KCRise Fund,2019-04-15
Origin Ventures,2019-04-15
Pritzker Group Venture Capital,2019-04-15
Rise of the Rest,2019-04-15
2019-04-15,Royal Street Ventures
Stripes,2019-04-15
DIVEdigital,2019-04-15
2019-04-15,Enrique M. Aboitiz
Jr.,2019-04-15
Grove Ventures,2019-04-15
State of Mind Ventures,2019-04-15
Act Venture Capital,2019-04-15
Enterprise Ireland,2019-04-15
GI Partners,2019-04-15
Inova Personalized Health Accelerator,2019-04-15
Irrus Investments,2019-04-15
NextSteps Capital,2019-04-15
Anthemis Group,2019-04-15
Ascend Venture Capital,2019-04-15
Menlo Ventures,2019-04-15
Prototype Capital,2019-04-15
Talis Capital,2019-04-15
2019-04-15,CICC
2019-04-15,Tonghui Capital
2019-04-15,Jeremey Zela
Jon Hallett,2019-04-15
Keyur Vimawala,2019-04-15
Rob Patten,2019-04-15
Cloud Angel Fund,2019-04-15
Dongke Chuangxing,2019-04-15
FutureCap,2019-04-15
2019-04-15,Daocin Capital
Plum Ventures,2019-04-15
Zero2IPO Ventures,2019-04-15
Angel Romanos Berrondo,2019-04-15
ID345,2019-04-15
Jose Antonio Baston Patiño,2019-04-15
Mario San Roman Oro,2019-04-15
2019-04-15,Oliver Fernandez
2019-04-15,Paola Hirmas de Pietrini
2019-04-15,Xavier Pietrini
2019-04-15,Almi Invest
Andreas Eng,2019-04-15
Pymwymic,2019-04-15
Van Herk Ventures,2019-04-15
Waterman Ventures,2019-04-15
Baidu Ventures,2019-04-15
Crystal Stream Capital,2019-04-15
Matrix Partners China,2019-04-15
JP Morgan Chase,2019-04-15
2019-04-15,CASIC
Delian Capital,2019-04-15
2019-04-15,Encore Consumer Capital
Idris Ayodeji Bello,2019-04-15
Giles Fraser,2019-04-15
Sarah Scales,2019-04-15
FutureCap,2019-04-15
ZhenFund,2019-04-15
2019-04-15,Leco Capital
SV Angel,2019-04-15
COPE Private Equity,2019-04-15
SBI Islamic Fund (Brunei),2019-04-15
2019-04-15,US Department of Commerce
Economic Development Administation,2019-04-15
2019-04-15,GoldStone Investment
2019-04-15,Konvoy Ventures
2019-04-15,Solo Venture Partners
Woofoo Capital,2019-04-15
JiangSu QianRong Assets Management,2019-04-15
Wartsila,2019-04-15
2019-04-15,ST Blockchain Fund
2019-04-15,TusStar
Atlantic Canada Opportunities Agency,2019-04-15
Techfront Ventures,2019-04-15
TA Associates,2019-04-15
