Investor Name,Announced Date 
Accel,2019-05-21
Alteria Capital,2019-05-21
SAIF Partners,2019-05-21
Andreessen Horowitz,2019-05-21
Baillie Gifford,2019-05-21
BlackRock,2019-05-21
Lead Edge Capital,2019-05-21
Lone Pine Capital,2019-05-21
Vitruvian Partners,2019-05-21
Barış Before,2019-05-21
Demirhan Büyüközcü,2019-05-21
2019-05-21,Erdem Gezer
2019-05-21,Hande Enes
Kaan Kalıpçı,2019-05-21
Kaan Kayabalı,2019-05-21
2019-05-21,Kaan Kural
Rıfat Elhadef,2019-05-21
Holt Ventures,2019-05-21
S3 Ventures,2019-05-21
Shasta Ventures,2019-05-21
Shelter Capital Partners,2019-05-21
2019-05-21,Sierra Ventures
Wild Basin Investments,2019-05-21
Adevinta Ventures,2019-05-21
All Iron Ventures,2019-05-21
FJ Labs,2019-05-21
Icebreaker.vc,2019-05-21
Speedinvest,2019-05-21
TPG Softbank Joint Venture Fund,2019-05-21
Chris Hitchen,2019-05-21
ConsenSys Ventures,2019-05-21
Kima Ventures,2019-05-21
Seedcamp,2019-05-21
Thomas France,2019-05-21
LG Technology Ventures,2019-05-21
Mirae Asset Global Investments,2019-05-21
2019-05-21,Mirae Asset Venture Investment
Smilegate Investment,2019-05-21
Timewise Investment,2019-05-21
2019-05-21,Entrée Capital
Global Founders Capital,2019-05-21
Uncork Capital,2019-05-21
Amazon Alexa Fund,2019-05-21
AT&T,2019-05-21
LearnLaunch Accelerator,2019-05-21
2019-05-21,NextFab
2019-05-21,Rough Draft Ventures
Techstars,2019-05-21
The eCoast Angel Network,2019-05-21
Leading Edge Ventures,2019-05-21
New Stack Ventures,2019-05-21
Newfund Capital,2019-05-21
VT Technology Ventures,2019-05-21
31Ventures,2019-05-21
2019-05-21,Amadeus Capital Partners
2019-05-21,Global Brain Corporation
Nex Cubed,2019-05-21
2019-05-21,BDC Capital
2019-05-21,Connecticut Innovations
McRock Capital,2019-05-21
Cipal Schaubroeck,2019-05-21
Finance.Brussels,2019-05-21
Inventures SA,2019-05-21
2019-05-21,BreakawayGrowth Fund
NEXT Canada,2019-05-21
Techstars,2019-05-21
2019-05-21,Ardian
2019-05-21,Tiger Global Management
2019-05-21,GF Qianhe Investment
Shenzhen Capital Group,2019-05-21
Sunic Capital,2019-05-21
Foundation Capital,2019-05-21
2019-05-21,security company
2019-05-21,WestWave Capital
Commerce Ventures,2019-05-21
Peter Kight,2019-05-21
Morgan Stanley Expansion Capital,2019-05-21
One Peak Partners,2019-05-21
2019-05-21,B-29 Investments
SCF Ventures,2019-05-21
Capital One,2019-05-21
2019-05-21,Refinery Ventures
China Growth Capital | CGC,2019-05-21
IMO Ventures,2019-05-21
2019-05-21,Linear Venture
Anthill Ventures,2019-05-21
Hyderabad Angels,2019-05-21
Indian Angel Network,2019-05-21
2019-05-21,BlueRun Ventures
GGV Capital,2019-05-21
SIG China (SIG Asia Investments),2019-05-21
2019-05-21,Collector Bank
DILA Capital,2019-05-21
Peru Capital Network,2019-05-21
Galaxy Holding Group,2019-05-21
Rising Investments,2019-05-21
MacKinnon,2019-05-21
2019-05-21,Bennett & Company
Mainsail Partners,2019-05-21
Flying Fish Partners,2019-05-21
Loup Ventures,2019-05-21
NY Group Partners,2019-05-21
Radar Capital,2019-05-21
Banco Sabadell,2019-05-21
2019-05-21,Genesis Ventures
NIBC Bank N.V.,2019-05-21
Scottish Investment Bank,2019-05-21
2019-05-21,Ferry Venture Capital
2019-05-21,Source Code Capital
Mercia Technologies,2019-05-21
2019-05-21,Silver Peak Partners
Flourish Ventures,2019-05-21
Kayne Partners,2019-05-21
Iowa Innovation Acceleration Fund,2019-05-21
Impact 100 Metro Detroit,2019-05-21
OCA Ventures,2019-05-21
Maiyun Capital,2019-05-21
Blackhorn Ventures,2019-05-21
Tenfore Holdings,2019-05-21
Oriza Holdings,2019-05-21
Asabys Partners,2019-05-21
Wu Capital,2019-05-21
Substance Abuse and Mental Health Services Administration,2019-05-21
OakNorth,2019-05-21
RAPZO CAPITAL,2019-05-21
Clayton,2019-05-21
Dubilier & Rice,2019-05-21
2019-05-21,Liren Education Fund
Rotating Boulder Fund,2019-05-21
Supera,2019-05-21
Effective Investments,2019-05-21
Netherlands Enterprise Agency,2019-05-21
Jumpstart Foundry,2019-05-21
Jumpstart Foundry,2019-05-21
Jumpstart Foundry,2019-05-21
Jumpstart Foundry,2019-05-21
Jumpstart Foundry,2019-05-21
Jumpstart Foundry,2019-05-21
Jumpstart Foundry,2019-05-21
Jumpstart Foundry,2019-05-21
Jumpstart Foundry,2019-05-21
Jumpstart Foundry,2019-05-21
Jumpstart Foundry,2019-05-21
Jumpstart Foundry,2019-05-21
Jumpstart Foundry,2019-05-21
Jumpstart Foundry,2019-05-21
2019-05-22,Augment Ventures
2019-05-22,Barclays Investment Bank
2019-05-22,Bold Capital Partners
2019-05-22,Chris Adelsbach
2019-05-22,Clay Dedeaux
2019-05-22,First Derivatives
Johnson Family Trust,2019-05-22
2019-05-22,Kerry Ritz
2019-05-22,Matt Johnson
2019-05-22,Payson Johnston
Steven Lee,2019-05-22
2019-05-22,Susan Standiford
2019-05-22,Task Force X Capital
2019-05-22,Techstars Ventures
2019-05-22,WS Investments
2019-05-22,Marubun Corporation
2019-05-22,NGK SPARK PLUG CO
2019-05-22,Bicameral Ventures
2019-05-22,Techstars
Techstars Seattle Accelerator,2019-05-22
2019-05-22,Loyal VC
2019-05-22,Blackstone Group
2019-05-22,ClearSky
2019-05-22,Fifth Wall
2019-05-22,The Westly Group
2019-05-22,Industrial Growth Platform
2019-05-22,Battery Ventures
2019-05-22,LionTree Partners
2019-05-22,Octopus Ventures
2019-05-22,Union Square Ventures
2019-05-22,Virgin Group
2019-05-22,Venture Kick
2019-05-22,Atami Capital
2019-05-22,InnoStart Capital
Partech,2019-05-22
2019-05-22,UpHonest Capital
2019-05-22,Y Combinator
2019-05-22,Lanzadera Accelerator
2019-05-22,Lanzadera Accelerator
2019-05-22,Fiba Capital Investments
2019-05-22,YFM Equity Partners
2019-05-22,Early Light Ventures
2019-05-22,Venture Kick
2019-05-22,Bits x Bites
2019-05-22,Felicis Ventures
2019-05-22,Founders Fund
2019-05-22,Mars Petcare
2019-05-22,Radical Investments LP
2019-05-22,Vectr
VegInvest,2019-05-22
2019-05-22,Alexis Bonte
2019-05-22,Bolloré Group
Hashed,2019-05-22
2019-05-22,Helix Fund
Mind Fund,2019-05-22
2019-05-22,ThunderCore
2019-05-22,True Global Ventures (TGV)
2019-05-22,Arbor Ventures
F2 Capital,2019-05-22
2019-05-22,Kaedan Capital
2019-05-22,Plug and Play
Verizon Ventures,2019-05-22
2019-05-22,Right Side Capital Management
2019-05-22,Qiming Venture Partners
2019-05-22,Emerge
Hyundai Motor Company,2019-05-22
2019-05-22,NHN Investment
2019-05-22,R&R Ventures
Spider Capital,2019-05-22
2019-05-22,U.S. Venture Partners (USVP)
GV,2019-05-22
2019-05-22,Industry Ventures
2019-05-22,Norwest Venture Partners
2019-05-22,True Ventures
2019-05-22,ARCH Venture Partners
GV,2019-05-22
2019-05-22,Lightstone Ventures
2019-05-22,Temasek Holdings
2019-05-22,UCB Ventures
2019-05-22,HALLEY Venture Partners
2019-05-22,Blumberg Capital
2019-05-22,YL Ventures
2019-05-22,Benchmark
2019-05-22,Burst Capital
GV,2019-05-22
2019-05-22,Spark Capital
2019-05-22,SV Angel
2019-05-22,Tuesday Capital
2019-05-22,Y Combinator
2019-05-22,Cathay Innovation
2019-05-22,Google
2019-05-22,TCL Communication Technology Holdings Limited
Adventure Capital Global,2019-05-22
2019-05-22,First Midwest Group
2019-05-22,IC Global Partners
2019-05-22,Rise Capital
Asian E-Commerce Alliance,2019-05-22
2019-05-22,Ramakant Sharma
2019-05-22,Tarun Nayyar
2019-05-22,Unilazer Ventures
Vistra ITCL,2019-05-22
2019-05-22,Jorg Mohaupt
2019-05-22,Sony Innovation Fund
WndrCo,2019-05-22
2019-05-22,Edison Partners
Hossein Noshirvani,2019-05-22
2019-05-22,Route 66 Ventures
Allianz X,2019-05-22
2019-05-22,Power Financial Corporation
2019-05-22,Accelerate Oklahoma Fund
2019-05-22,George Kaiser Family Foundation
2019-05-22,i2E
2019-05-22,Oklahoma Angel Fund
2019-05-22,Oklahoma Seed Capital Fund
Zetta Venture Partners,2019-05-22
Chinaccelerator,2019-05-22
2019-05-22,SOSV
2019-05-22,Tiger Global Management
2019-05-22,Almi Invest
2019-05-22,Hemex
2019-05-22,North First Ventures
2019-05-22,Robert Bosch Venture Capital
2019-05-22,State of Mind Ventures
2019-05-22,Cowen Healthcare Investments
2019-05-22,Oracle Investment Management Inc.
2019-05-22,Venrock
2019-05-22,Aper Ventures
2019-05-22,Cove Fund
2019-05-22,Mark IV Capital
Paladin Capital Group,2019-05-22
Trind Ventures,2019-05-22
2019-05-22,Fifty Years
2019-05-22,Founders Fund
2019-05-22,KdT Ventures
2019-05-22,Refactor Capital
2019-05-22,Y Combinator
2019-05-22,True Ventures
VilCap Investments,2019-05-22
2019-05-22,Haidu Group
2019-05-22,Milestone Capital China
2019-05-22,Qingsong Fund
2019-05-22,Roark Capital Group
2019-05-22,Bon Angels Venture Partners
2019-05-22,GS Shop
2019-05-22,Elevate Capital
2019-05-22,Newark Venture Partners
2019-05-22,TiE New York
2019-05-22,Venture Kick
2019-05-22,Alpharatz
2019-05-22,Batipart
2019-05-22,BDC Capital Corporation
2019-05-22,TD Commercial Banking
2019-05-22,Water Research Commission
Active Impact Investments,2019-05-22
2019-05-22,Collector Ventures
2019-05-22,Xiangxiang Capital
2019-05-22,Shengjin Venture Capital
2019-05-22,QF Capital
2019-05-22,Channel Mark Investments
2019-05-22,FedDev
2019-05-22,Almi Invest
Mashreq Bank,2019-05-22
2019-05-22,EXPERT DOJO
2019-05-22,500 Startups
2019-05-22,Cove Hill Partners
2019-05-22,Google
2019-05-22,Bulldog Angel Network
2019-05-22,Frontier Growth
2019-05-22,Baoding Ventures
2019-05-22,Pure Consulting
2019-05-22,Edge Ventures
2019-05-22,Ellerston Capital
2019-05-22,Triple Point Ventures
2019-05-22,Riverside Company
Fuel Ventures,2019-05-22
2019-05-22,Creador
Ito Hisashi,2019-05-23
2019-05-23,Nishio Kentaro
TLM,2019-05-23
2019-05-23,W Ventures
2019-05-23,Generis Capital Partners
First Round Capital,2019-05-23
Founder Collective,2019-05-23
Lerer Hippeau,2019-05-23
2019-05-23,Slow Ventures
eGarden Ventures,2019-05-23
2019-05-23,General Atlantic
NewMargin Ventures,2019-05-23
2019-05-23,Qiming Venture Partners
2019-05-23,Tencent Holdings
2019-05-23,Yuantai Investment Partners
Dai-ichi Life,2019-05-23
2019-05-23,Dentsu
Innovation Network Corporation of Japan,2019-05-23
2019-05-23,K4 Ventures
2019-05-23,KDDI Open Innovation Fund
Mizuho Capital Partners,2019-05-23
NEC Capital Solutions,2019-05-23
SBI Investment,2019-05-23
SMBC Venture Capital,2019-05-23
Toppan Printing,2019-05-23
2019-05-23,Dentsu
Ryutaro Katayama,2019-05-23
SBI Investment,2019-05-23
SX Capital Japan,2019-05-23
UTEC- University of Tokyo Edge Capital,2019-05-23
Comeback Capital,2019-05-23
2019-05-23,Right Side Capital Management
Capital Times Investment Advisory,2019-05-23
Metavallon VC,2019-05-23
2019-05-23,123 Investment Managers
Sigma Gestion,2019-05-23
2019-05-23,Makuake
EcoR1 Capital,2019-05-23
2019-05-23,F2 Ventures
2019-05-23,Fidelity Management and Research Company
Gilead Sciences,2019-05-23
Invus,2019-05-23
Leerink Partners,2019-05-23
Redmile Group,2019-05-23
Samsara BioCapital,2019-05-23
2019-05-23,Credit Suisse Entrepreneur Capital
2019-05-23,Gentian Investments
investiere | Verve Capital Partners,2019-05-23
2019-05-23,Zürcher Kantonal Bank
SIGNA Innovations,2019-05-23
2019-05-23,Alpana Ventures
Fyrfly Venture Partners,2019-05-23
Grey Sky Venture Partners,2019-05-23
M Ventures,2019-05-23
VI Partners AG,2019-05-23
Innospark Ventures,2019-05-23
Digital Attraxion,2019-05-23
2019-05-23,Caffeinated Capital
Courtside Ventures,2019-05-23
Jeremy Stoppelman,2019-05-23
2019-05-23,Khosla Ventures
Kleiner Perkins,2019-05-23
2019-05-23,Mike Krieger
Erik Blachford,2019-05-23
Graph Ventures,2019-05-23
2019-05-23,Mark Pincus
Montage Ventures,2019-05-23
Structure Capital,2019-05-23
500 Startups,2019-05-23
500 Startups,2019-05-23
Constantia New Business,2019-05-23
High-Tech Grunderfonds,2019-05-23
2019-05-23,Core Innovation Capital
EchoVC Partners,2019-05-23
2019-05-23,Greylock Partners
2019-05-23,Union Square Ventures
Amadeus IT Group,2019-05-23
Bouygues,2019-05-23
ITOCHU Corporation,2019-05-23
The Caisse des Dépôts,2019-05-23
Afore Capital,2019-05-23
Jared Leto,2019-05-23
Kleiner Perkins,2019-05-23
2019-05-23,Y Combinator
Better Ventures,2019-05-23
Bragiel Brothers,2019-05-23
Homebrew,2019-05-23
Urban Innovation Fund,2019-05-23
Penfund,2019-05-23
BoxGroup,2019-05-23
2019-05-23,Data Collective DCVC
2019-05-23,Hyperplane Venture Capital
RRE Ventures,2019-05-23
Third Kind Venture Capital,2019-05-23
2019-05-23,Version One Ventures
HAX,2019-05-23
2019-05-23,SOSV
Carla Qualtrough,2019-05-23
Navdeep Bains,2019-05-23
Joyance Partners,2019-05-23
Social Starts,2019-05-23
Better Food Ventures,2019-05-23
Dalus Capital,2019-05-23
Inverama,2019-05-23
Nolabey Grup,2019-05-23
Suqué Mateu,2019-05-23
StartUp Health,2019-05-23
Dan Sten Olsson,2019-05-23
Lars-Henrik Friis Molin,2019-05-23
Schibsted,2019-05-23
Foundry Group,2019-05-23
2019-05-23,General Atlantic
OpenView,2019-05-23
Gunter Dunkel,2019-05-23
Klaus Eckstein KG,2019-05-23
Mutschler Ventures AG,2019-05-23
13 Capital,2019-05-23
Jager Capital,2019-05-23
Matrix Partners China,2019-05-23
Alliance Fund Managers,2019-05-23
2019-05-23,Global Wings
JM Wealth,2019-05-23
HGGC,2019-05-23
Partners Group,2019-05-23
TA Associates,2019-05-23
Andreessen Horowitz,2019-05-23
SignalFire,2019-05-23
Boost VC,2019-05-23
2019-05-23,Draper Associates
Simons Foundation,2019-05-23
2019-05-23,The Carson Family Charitable Trust
Lang Sheng Investment,2019-05-23
Zhongdian Health Industry Fund,2019-05-23
Elaia,2019-05-23
2019-05-23,IT Translation
AF Ventures (formerly AccelFoods),2019-05-23
Skanska,2019-05-23
Katalyst.Ventures,2019-05-23
JITO Angel Network,2019-05-23
Metaform Ventures,2019-05-23
SucSEED Venture Partners,2019-05-23
Swan Angel Network,2019-05-23
Macquarie Bank,2019-05-23
2019-05-23,Berkadia Commercial Mortgage
Schibsted,2019-05-23
Microsoft,2019-05-23
Oasis500,2019-05-23
Michael J. Fox Foundation,2019-05-23
Locust Park Capital,2019-05-23
Sequoia Capital,2019-05-23
ETF Partners,2019-05-23
Aochuang Alliance Capital,2019-05-23
Velocity Capital Private Equity,2019-05-23
Vestark,2019-05-23
Triton Pacific Capital Partners,2019-05-23
Redpoint Ventures China,2019-05-23
ITOCHU Corporation,2019-05-23
VisionMax Health Fund,2019-05-23
Oasis500,2019-05-23
Plug and Play,2019-05-23
Index Ventures,2019-05-23
Southwest Angel Network,2019-05-23
Bregal Milestone,2019-05-23
EIT Digital Accelerator,2019-05-23
University of California Davis,2019-05-23
2019-05-24,Drone Fund
2019-05-24,Incubate Fund
2019-05-24,TomyK
2019-05-24,Pegasus Tech Ventures
2019-05-24,Shinsei Capital Partners
2019-05-24,Coatue Management
2019-05-24,Darsana Capital Partners
Dragoneer Investment Group,2019-05-24
2019-05-24,DST Global
2019-05-24,Sands Capital Ventures
2019-05-24,Sequoia Capital
2019-05-24,SoftBank Vision Fund
2019-05-24,Temasek Holdings
2019-05-24,Gigafund
2019-05-24,Manhattan Venture Partners
2019-05-24,Space Angels
2019-05-24,Vanedge Capital
2019-05-24,Acorn Pacific Ventures
2019-05-24,Legend Capital
2019-05-24,Qiming Venture Partners
2019-05-24,SBCVC
2019-05-24,VT Ventures
2019-05-24,HAX
2019-05-24,Prototype Capital
2019-05-24,SOSV
2019-05-24,Xplorer Capital
2019-05-24,BlueRun Ventures
2019-05-24,Bullpen Capital
2019-05-24,Conductive Ventures
2019-05-24,David Stern
2019-05-24,DCM Ventures
Digital Currency Group,2019-05-24
2019-05-24,Gavin Isaacs
2019-05-24,PROOF.VC
2019-05-24,Subversive Capital
2019-05-24,Uni.Fund
2019-05-24,VentureFriends
2019-05-24,Angel Invest
2019-05-24,Ataraxy Ventures Limited
2019-05-24,Finch Capital
2019-05-24,Market One Capital
2019-05-24,Plug and Play
2019-05-24,Angel One Network
2019-05-24,Golden Triangle Angel Network
Jacky Chen,2019-05-24
2019-05-24,NorthSpring Capital Partners
BioVenture,2019-05-24
2019-05-24,Dyee Capital
Loyal Valley Capital,2019-05-24
2019-05-24,Neovision Capital
2019-05-24,Shiyu Capital
2019-05-24,State Development & Investment Corporation (SDIC)
2019-05-24,Roman Avdeev
2019-05-24,500 Startups
GGV Capital,2019-05-24
GGV Capital,2019-05-24
2019-05-24,DG Ventures
2019-05-24,Pegasus Tech Ventures
2019-05-24,San-in Godo Bank
2019-05-24,SIGMAXYZ
2019-05-24,Ambrish Tyagi
2019-05-24,Bharati Balakrishnan
2019-05-24,Freshworks
2019-05-24,Firstime Venture Capital
2019-05-24,Frontier Venture Capital
2019-05-24,Rhodium
2019-05-24,HAX
2019-05-24,SOSV
2019-05-24,New Enterprise Associates
2019-05-24,Stripes
2019-05-24,FORWARD.one Venture Capital
2019-05-24,InnovationQuarter
2019-05-24,Genesis Alternative Ventures
2019-05-24,Genesis Alternative Ventures
2019-05-24,Desafía
2019-05-24,Desafía
2019-05-24,Desafía
2019-05-24,Desafía
2019-05-24,Desafía
2019-05-24,Desafía
2019-05-24,Desafía
2019-05-24,Alibaba Group
2019-05-24,Ant Financial
2019-05-24,Oak HC/FT
2019-05-24,BE Capital
2019-05-24,EdBeta Fund
Tezos,2019-05-24
2019-05-24,Sequoia Capital India
Yes Bank,2019-05-24
2019-05-24,Innovation Works
2019-05-24,Purple Orange Ventures
2019-05-24,Diedai Capital
2019-05-24,Western New York Venture Association
2019-05-24,Hi-Tech Agri Biological Venture Capital
2019-05-24,Fibonacci VC
2019-05-24,Innovate UK
2019-05-24,International Finance Corporation
2019-05-24,European Investment Bank (EIB)
2019-05-24,Innovate UK
2019-05-24,Innovate UK
2019-05-24,Petpal Pet Nutrition Technology
Mississippi State University Center for Entrepreneurship and Outreach,2019-05-24
2019-05-24,APX
DMM Ventures,2019-05-25
Yasunari Ijima,2019-05-25
Builders VC,2019-05-25
2EnablePartners,2019-05-25
Watertower Ventures,2019-05-25
BlockWater Management,2019-05-25
Dean Bartosh,2019-05-25
Tillvaxtverket,2019-05-25
Abanumay Family Group,2019-05-26
Al-Madi Family Group,2019-05-26
Aloshban and Alnamlah Family Groups,2019-05-26
BATIC,2019-05-26
Lion’s Head Global Partners,2019-05-26
CG Partners,2019-05-26
2019-05-27,Cluster
2019-05-27,Gumi Ventures
Masao Ito,2019-05-27
W ventures Japan,2019-05-27
DCM Ventures,2019-05-27
Incubate Fund,2019-05-27
Sony Innovation Fund,2019-05-27
DBJ Capital,2019-05-27
WRVI Capital,2019-05-27
2019-05-27,Fujimi Corporation
Future Venture Capital,2019-05-27
SBI Investment,2019-05-27
KVP,2019-05-27
Okasan Capital Partners,2019-05-27
Kips,2019-05-27
Beyond Next Ventures,2019-05-27
Mitsui Sumitomo Insuarance Venture Capital,2019-05-27
Shiseido,2019-05-27
2019-05-27,Starburst Ventures
Nine Four Ventures,2019-05-27
Osaka University Venture Capital,2019-05-27
AdamTech Ventures,2019-05-27
2019-05-27,Endure Capital
2019-05-27,EQ2 Ventures
Kingsway Capital,2019-05-27
2019-05-27,Abdul Azeez Al-Ghurair
2019-05-27,Al-Nasser Holdings
2019-05-27,CE Ventures (CEIIF)
Das Capital,2019-05-27
Kortschak Investments,2019-05-27
L.P.,2019-05-27
2019-05-27,M&S Partners
TTCER Partners,2019-05-27
2019-05-27,HOTEON Capital
2019-05-27,Jinhua High-Tech Park
Liuyun Capital,2019-05-27
2019-05-27,Yatai Group
Anthos Capital,2019-05-27
Artiman Ventures,2019-05-27
2019-05-27,Think + Ventures
LP,2019-05-27
WestTech Ventures,2019-05-27
2019-05-27,Next Capital
Plum Ventures,2019-05-27
Sequoia Capital China,2019-05-27
2019-05-27,Will Hunting Capital
DFS Lab,2019-05-27
Golden Gate,2019-05-27
Intudo Ventures,2019-05-27
Openspace Ventures,2019-05-27
2019-05-27,Engage Capital
GSR Ventures,2019-05-27
Welight Capital,2019-05-27
ZhenFund,2019-05-27
2019-05-27,Anupam Mittal
Dharti Desai,2019-05-27
Hardik Zaveri,2019-05-27
Marquee Invest,2019-05-27
2019-05-27,Neon Ventures
2019-05-27,Oui Capital
Zircon marine,2019-05-27
2019-05-27,Bloomberg Beta
Builders VC,2019-05-27
Costanoa Ventures,2019-05-27
2019-05-27,Russell Fradin
2019-05-27,East Ventures
CAS Star,2019-05-27
Shenzhen Qianhai Hengbang Equity Investment,2019-05-27
2019-05-27,Youbang Investment
2019-05-27,Mitsubishi Estate
Silversea Media Group,2019-05-27
Deepak Chugani,2019-05-27
Dilip Chugani,2019-05-27
Samsung Ventures,2019-05-27
Samsung Ventures,2019-05-27
Dux Capital,2019-05-27
Tin Men Capital,2019-05-27
Yin Kuo,2019-05-27
2019-05-27,Zhang Xuansong
Solactive,2019-05-27
AngelList,2019-05-27
2019-05-27,Chain Renaissance Capital
Alfa Ventures,2019-05-27
2019-05-27,Saama Capital
2019-05-27,Johannes Berggren
1Crowd,2019-05-27
2019-05-27,Blume Ventures
Innovacorp,2019-05-27
Innovacorp,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Space3ac,2019-05-27
Powered Accelerator,2019-05-27
Powered Accelerator,2019-05-27
Powered Accelerator,2019-05-27
Powered Accelerator,2019-05-27
Powered Accelerator,2019-05-27
Powered Accelerator,2019-05-27
Powered Accelerator,2019-05-27
Powered Accelerator,2019-05-27
U.S. Department of Energy Solar Energy Technologies Office,2019-05-27
TAL Education Group,2019-05-27
2019-05-27,AXIS Participaciones Empresariales
2019-05-27,AXIS Participaciones Empresariales
Maersk Growth,2019-05-27
BRS Ventures Investment,2019-05-27
Greyhound Capital,2019-05-27
2019-05-27,AXIS Participaciones Empresariales
Ion Pacific,2019-05-27
Bill Smallwood,2019-05-28
2019-05-28,Edward Cotter
Eric Ganz,2019-05-28
2019-05-28,Gregg Larson
James Murphy,2019-05-28
Karl Kloster,2019-05-28
Kaushik Patel,2019-05-28
New Direction Trust Company,2019-05-28
SI Securities,2019-05-28
LLC,2019-05-28
Alibaba Group,2019-05-28
KVP,2019-05-28
2019-05-28,MTG Ventures
SMBC Venture Capital,2019-05-28
YJ Capital,2019-05-28
CRE,2019-05-28
Inc.,2019-05-28
2019-05-28,Global Brain Corporation
Sony Financial Ventures,2019-05-28
JAFCO Japan,2019-05-28
2019-05-28,Genesis Investments
2019-05-28,Global Brain Corporation
2019-05-28,Chuck Feerick
Gabriel Jarrosson,2019-05-28
Anthemis Exponential Ventures,2019-05-28
Anthemis Group,2019-05-28
Creandum,2019-05-28
LocalGlobe,2019-05-28
MMC Ventures,2019-05-28
Notion,2019-05-28
OurCrowd,2019-05-28
2019-05-28,RGAx
W.A. DE VIGIER,2019-05-28
2019-05-28,Huahe Fresh
Wayra,2019-05-28
M25,2019-05-28
Marc Belton,2019-05-28
2019-05-28,Matchstick Ventures
2019-05-28,Techstars Ventures
The Syndicate Fund,2019-05-28
2019-05-28,True Ventures
2019-05-28,FuzeHub
Igor Rybakov,2019-05-28
PRYTEK,2019-05-28
Aavishkaar Frontier Fund,2019-05-28
2019-05-28,True Ventures
Blackbird Ventures,2019-05-28
2019-05-28,Clean Energy Finance Corporation
2019-05-28,Main Sequence Ventures
2019-05-28,PAN Group Australia
Ray Stata,2019-05-28
2019-05-28,Right Click Capital
Skip Capital,2019-05-28
2019-05-28,Uniseed Ventures
Cass Entrepreneurship Fund,2019-05-28
2019-05-28,Chelverton Asset Management
Cornwall & Isles of Scilly Investment Fund,2019-05-28
2019-05-28,Entrée Capital
Oryzn Capital,2019-05-28
2019-05-28,Slow Ventures
Vertex Ventures Israel,2019-05-28
2019-05-28,Kluz Ventures
aMoon Fund,2019-05-28
2019-05-28,Harel Insurance Investments and Financial Services
2019-05-28,Israel Biotech Fund
2019-05-28,Novartis
SBI Japan-Israel Innovation Fund,2019-05-28
2019-05-28,8btc.com
BitBlock Capital,2019-05-28
IDG Capital,2019-05-28
JRR Capital,2019-05-28
2019-05-28,Rootscap
Vector Capital,2019-05-28
Canal Ventures,2019-05-28
JR East Start Up,2019-05-28
JR West Innovations,2019-05-28
2019-05-28,POLA Orbis Holdings
Tokyu Corporation,2019-05-28
Yamaguchi Capital,2019-05-28
KittyHawk Ventures,2019-05-28
Juvenescence,2019-05-28
Green shores Capital,2019-05-28
2019-05-28,Jenson Solutions
The FSE Group,2019-05-28
Altos Ventures,2019-05-28
FTV Capital,2019-05-28
Adrian Cheng,2019-05-28
Advantech Capital,2019-05-28
China Venture Capital,2019-05-28
Hudson Bay Capital Management,2019-05-28
PAG,2019-05-28
2019-05-28,Ray Wirta
Equanimity Investments,2019-05-28
GVFL,2019-05-28
Manish Choksi,2019-05-28
Index Ventures,2019-05-28
Kima Ventures,2019-05-28
2019-05-28,Nasdaq Ventures
The Carlyle Group,2019-05-28
Accel,2019-05-28
2019-05-28,Elevar Equity
2019-05-28,Nuveen Investments
responsAbility,2019-05-28
2019-05-28,Global Brain Corporation
2019-05-28,Rakuten Capital
X Tech Ventures,2019-05-28
Inventure,2019-05-28
Lifeline Ventures,2019-05-28
2019-05-28,Reaktor Ventures
2019-05-28,Innogest Capital
TAN Holdings,2019-05-28
Brightly Ventures,2019-05-28
Luminar Ventures,2019-05-28
2019-05-28,Fulvio Kaminski Massaro
2019-05-28,Cardinal Health
2019-05-28,Fosun International
2019-05-28,Guangdian Capital
2019-05-28,Jennifer Carolan
2019-05-28,Reach Capital
2019-05-28,Union Square Ventures
2019-05-28,Khosla Ventures
Paul Buchheit,2019-05-28
Grove Ventures,2019-05-28
Intel Capital,2019-05-28
2019-05-28,Marius Nacht
Prasetia Dwidharma,2019-05-28
Silicon Solution Ventures,2019-05-28
Spring SEEDS Capital,2019-05-28
2019-05-28,China Equity
Qi Biqiu Shi Investment Management,2019-05-28
U.S.-China Green Fund,2019-05-28
Charles Matine,2019-05-28
Fabien Pierlot,2019-05-28
Jiong Ma,2019-05-28
2019-05-28,Be Angels
Sambrinvest,2019-05-28
SCALE I,2019-05-28
CPE,2019-05-28
2019-05-28,Joyoung
2019-05-28,Yi Capital
Samsung Ventures,2019-05-28
2019-05-28,Orbita Capital Partners
RBV Capital,2019-05-28
2019-05-28,Immobiliare.it
Accelmed,2019-05-28
2019-05-28,HeroMotoCorp Ltd
InnoVen Capital,2019-05-28
2019-05-28,Sachin Bansal
2019-05-28,American Family Insurance
IDOM,2019-05-28
2019-05-28,Lenovo Capital and Incubator Group (LCIG)
Tellhow Capital,2019-05-28
Bain Capital,2019-05-28
Amit Hindocha,2019-05-28
2019-05-28,Mobeus Equity Partners
